campaign_id,type,cost,start_date
1,Emergency,9619,2023-01-01
2,Emergency,2895,2023-01-16
3,Education,7090,2023-01-31
4,Emergency,9508,2023-02-15
5,Emergency,7082,2023-03-02
6,Food,1634,2023-03-17
7,Education,2925,2023-04-01
8,Education,3056,2023-04-16
9,Health,7917,2023-05-01
10,Education,4144,2023-05-16
11,Education,1552,2023-05-31
12,Health,9907,2023-06-15
13,Education,6383,2023-06-30
14,Education,4911,2023-07-15
15,Education,4389,2023-07-30
16,Education,9442,2023-08-14
17,Health,3430,2023-08-29
18,Education,1458,2023-09-13
19,Education,1207,2023-09-28
20,Health,1899,2023-10-13
