donor_id,campaign_id,date,amount
390,20,2024-12-30,167.0
314,17,2024-07-09,498.0
22,3,2024-08-12,349.0
410,5,2024-12-28,396.0
71,19,2024-09-01,349.0
127,12,2023-10-09,457.0
14,7,2024-10-22,77.0
12,9,2024-07-31,113.0
87,6,2024-04-01,314.0
301,17,2023-03-28,123.0
243,16,2023-03-20,303.0
122,3,2023-07-24,42.0
147,4,2023-12-03,185.0
356,10,2023-09-11,214.0
309,5,2023-10-31,228.0
288,10,2024-01-15,23.0
307,12,2023-05-10,127.0
352,10,2024-08-18,41.0
312,13,2023-10-03,419.0
59,11,2024-11-29,160.0
35,16,2024-07-11,113.0
445,8,2023-07-02,20.0
93,8,2023-09-25,406.0
207,8,2023-11-18,244.0
353,13,2024-05-26,386.0
332,2,2024-09-03,24.0
159,12,2023-03-19,208.0
24,10,2023-12-05,100.0
404,12,2024-11-04,302.0
329,11,2024-07-09,498.0
364,15,2024-05-23,23.0
382,16,2023-08-26,373.0
152,17,2023-05-14,208.0
420,2,2023-07-11,427.0
250,18,2023-12-22,104.0
117,12,2023-10-05,123.0
179,19,2023-01-18,127.0
335,18,2024-06-07,396.0
418,17,2023-06-29,145.0
295,6,2023-05-03,186.0
371,15,2023-09-03,109.0
186,3,2024-01-08,382.0
246,6,2023-02-20,159.0
268,3,2023-03-12,431.0
237,1,2024-04-24,208.0
21,13,2024-07-13,373.0
196,14,2023-01-19,293.0
100,13,2023-03-25,484.0
478,4,2023-06-04,185.0
298,7,2024-07-18,349.0
334,10,2024-09-10,350.0
2,7,2023-12-23,431.0
375,15,2024-10-08,71.0
293,15,2024-03-18,68.0
318,4,2023-03-10,322.0
457,6,2024-06-06,185.0
381,20,2023-05-23,104.0
14,5,2023-07-11,185.0
409,20,2024-01-22,118.0
231,12,2024-01-13,248.0
84,1,2024-08-03,94.0
130,8,2024-06-18,230.0
145,1,2024-11-23,341.0
28,5,2023-10-20,349.0
66,6,2023-01-09,375.0
229,15,2024-01-22,77.0
261,5,2023-04-03,104.0
449,14,2024-06-12,258.0
424,18,2023-06-03,208.0
460,16,2024-02-09,248.0
303,14,2023-09-24,484.0
287,8,2024-02-26,23.0
395,7,2024-09-09,349.0
10,8,2024-04-16,120.0
270,13,2024-06-30,140.0
361,6,2024-09-22,66.0
257,18,2024-06-09,336.0
133,2,2024-05-17,126.0
276,8,2023-01-14,212.0
49,11,2024-10-13,419.0
313,1,2023-12-30,240.0
284,6,2023-04-29,258.0
121,16,2023-08-26,393.0
107,20,2024-06-29,426.0
204,12,2023-06-18,430.0
165,11,2024-06-05,71.0
305,10,2024-09-25,149.0
497,3,2024-10-18,481.0
156,13,2024-05-30,385.0
367,3,2024-02-01,244.0
251,15,2023-04-16,118.0
334,16,2023-03-26,103.0
415,13,2023-08-02,349.0
293,17,2023-05-01,427.0
20,3,2023-05-12,380.0
282,20,2023-07-16,233.0
1,11,2023-01-19,118.0
119,19,2024-10-03,242.0
