donor_id,age,country,acquisition_channel
1,56.0,uk,Email
2,69.0,ukraine,Referral
3,46.0,poland,Referral
4,32.0,poland,Google Ads
5,60.0,ukraine,Organic
6,25.0,ukraine,Google Ads
7,38.0,poland,Referral
8,56.0,ukraine,Unknown
9,36.0,ukraine,Referral
10,40.0,ukraine,Unknown
11,28.0,uk,Facebook Ads
12,28.0,uk,Referral
13,41.0,ukraine,Facebook Ads
14,45.0,uk,Organic
15,53.0,ukraine,Google Ads
16,57.0,ukraine,Unknown
17,41.0,uk,Google Ads
18,20.0,ukraine,Facebook Ads
19,39.0,uk,Unknown
20,45.0,ukraine,Google Ads
21,19.0,germany,Referral
22,41.0,usa,Email
23,61.0,poland,Facebook Ads
24,47.0,germany,Google Ads
25,55.0,uk,Facebook Ads
26,19.0,ukraine,Facebook Ads
27,38.0,ukraine,Unknown
28,50.0,uk,Unknown
29,29.0,ukraine,Email
30,39.0,usa,Referral
31,61.0,uk,Facebook Ads
32,42.0,ukraine,Google Ads
33,66.0,ukraine,Organic
34,44.0,ukraine,Facebook Ads
35,59.0,ukraine,Facebook Ads
36,45.0,ukraine,Email
37,33.0,usa,Referral
38,32.0,uk,Organic
39,64.0,usa,Unknown
40,68.0,poland,Unknown
41,61.0,poland,Google Ads
42,69.0,uk,Organic
43,20.0,ukraine,Unknown
44,54.0,usa,Google Ads
45,68.0,ukraine,Referral
46,24.0,ukraine,Google Ads
47,38.0,ukraine,Unknown
48,26.0,uk,Email
49,56.0,ukraine,Email
50,35.0,poland,Email
51,21.0,poland,Unknown
52,42.0,ukraine,Email
53,31.0,uk,Organic
54,67.0,usa,Referral
55,26.0,poland,Google Ads
56,43.0,usa,Google Ads
57,45.0,ukraine,Unknown
58,19.0,poland,Email
59,37.0,poland,Email
60,45.0,germany,Facebook Ads
61,64.0,poland,Referral
62,24.0,ukraine,Organic
63,61.0,uk,Google Ads
64,25.0,uk,Facebook Ads
65,64.0,usa,Facebook Ads
66,52.0,ukraine,Unknown
67,31.0,poland,Google Ads
68,34.0,ukraine,Unknown
69,53.0,usa,Organic
70,67.0,germany,Facebook Ads
71,57.0,usa,Facebook Ads
72,21.0,usa,Referral
73,19.0,poland,Organic
74,23.0,germany,Facebook Ads
75,59.0,usa,Organic
76,21.0,ukraine,Google Ads
77,46.0,ukraine,Email
78,35.0,uk,Facebook Ads
79,43.0,germany,Referral
80,61.0,germany,Google Ads
81,51.0,uk,Organic
82,27.0,usa,Unknown
83,53.0,germany,Google Ads
84,31.0,ukraine,Facebook Ads
85,48.0,ukraine,Organic
86,65.0,poland,Email
87,32.0,germany,Google Ads
88,25.0,usa,Facebook Ads
89,31.0,uk,Referral
90,40.0,uk,Unknown
91,57.0,usa,Organic
92,38.0,ukraine,Google Ads
93,33.0,ukraine,Google Ads
94,62.0,poland,Email
95,35.0,uk,Email
96,64.0,germany,Referral
97,45.0,poland,Unknown
98,41.0,germany,Referral
99,43.0,ukraine,Facebook Ads
