donor_id,campaign_id,date,amount
390,20,2024-12-30,167
314,17,2024-07-09,498
22,3,2024-08-12,349
410,5,2024-12-28,396
71,19,2024-09-01,349
127,12,2023-10-09,457
14,7,2024-10-22,77
12,9,2024-07-31,113
87,6,2024-04-01,314
301,17,2023-03-28,123
243,16,2023-03-20,303
122,3,2023-07-24,42
147,4,2023-12-03,185
356,10,2023-09-11,214
309,5,2023-10-31,228
288,10,2024-01-15,23
307,12,2023-05-10,127
352,10,2024-08-18,41
312,13,2023-10-03,419
59,11,2024-11-29,160
35,16,2024-07-11,113
445,8,2023-07-02,20
93,8,2023-09-25,406
207,8,2023-11-18,244
353,13,2024-05-26,386
332,2,2024-09-03,24
159,12,2023-03-19,208
24,10,2023-12-05,100
404,12,2024-11-04,302
329,11,2024-07-09,498
364,15,2024-05-23,23
382,16,2023-08-26,373
152,17,2023-05-14,208
420,2,2023-07-11,427
250,18,2023-12-22,104
117,12,2023-10-05,123
179,19,2023-01-18,127
335,18,2024-06-07,396
418,17,2023-06-29,145
295,6,2023-05-03,186
371,15,2023-09-03,109
186,3,2024-01-08,382
246,6,2023-02-20,159
268,3,2023-03-12,431
237,1,2024-04-24,208
21,13,2024-07-13,373
196,14,2023-01-19,293
100,13,2023-03-25,484
478,4,2023-06-04,185
298,7,2024-07-18,349
334,10,2024-09-10,350
2,7,2023-12-23,431
375,15,2024-10-08,71
293,15,2024-03-18,68
318,4,2023-03-10,322
457,6,2024-06-06,185
381,20,2023-05-23,104
14,5,2023-07-11,185
409,20,2024-01-22,118
231,12,2024-01-13,248
84,1,2024-08-03,94
130,8,2024-06-18,230
145,1,2024-11-23,341
28,5,2023-10-20,349
66,6,2023-01-09,375
163,3,2023-09-28,-10
229,15,2024-01-22,77
261,5,2023-04-03,104
449,14,2024-06-12,258
424,18,2023-06-03,208
460,16,2024-02-09,248
301,6,2023-05-29,0
303,14,2023-09-24,484
287,8,2024-02-26,23
395,7,2024-09-09,349
10,8,2024-04-16,120
270,13,2024-06-30,140
361,6,2024-09-22,66
257,18,2024-06-09,336
133,2,2024-05-17,126
276,8,2023-01-14,212
49,11,2024-10-13,419
313,1,2023-12-30,240
284,6,2023-04-29,258
121,16,2023-08-26,393
107,20,2024-06-29,426
204,12,2023-06-18,430
165,11,2024-06-05,71
305,10,2024-09-25,149
497,3,2024-10-18,481
156,13,2024-05-30,385
367,3,2024-02-01,244
251,15,2023-04-16,118
334,16,2023-03-26,103
415,13,2023-08-02,349
293,17,2023-05-01,427
20,3,2023-05-12,380
282,20,2023-07-16,233
1,11,2023-01-19,118
119,19,2024-10-03,242
35,11,2023-01-12,171
198,16,2023-03-22,386
485,3,2023-11-26,90
59,6,2024-01-27,380
161,14,2024-09-28,386
206,18,2023-11-03,145
12,17,2023-09-24,10
490,4,2024-03-22,214
276,15,2024-03-16,148
242,11,2024-10-13,427
216,3,2023-01-02,100
251,3,2024-06-03,427
126,16,2024-10-12,90
217,5,2024-09-27,375
306,10,2023-11-05,180
185,19,2024-06-05,103
39,4,2024-04-13,372
223,19,2023-07-31,94
184,11,2023-04-22,405
495,2,2023-01-08,248
427,10,2024-04-21,457
178,11,2024-04-04,170
428,20,2023-09-10,51
294,16,2024-06-09,123
151,19,2024-03-13,240
384,11,2024-10-22,0
308,14,2023-08-24,244
336,2,2023-11-02,234
375,5,2024-04-22,228
8,5,2024-11-09,100
341,19,2023-01-20,103
129,12,2023-08-04,208
352,18,2023-05-15,427
358,4,2023-05-09,100
428,17,2024-02-14,498
495,10,2024-02-26,214
86,20,2023-10-21,104
175,6,2023-09-03,51
193,14,2024-12-01,498
311,11,2024-07-09,244
119,11,2023-03-27,
218,18,2024-07-09,331
427,18,2024-01-10,170
414,11,2024-03-21,100
114,12,2024-01-13,208
145,5,2024-01-25,
303,9,2024-10-18,405
345,9,2023-02-20,100
1,10,2023-08-30,95
147,19,2023-10-21,448
287,1,2024-07-16,426
53,7,2023-09-23,244
304,4,2023-04-30,107
69,1,2024-12-12,386
361,15,2023-09-05,10
220,8,2023-03-11,171
161,12,2023-02-26,373
89,18,2024-01-17,66
159,15,2023-02-08,427
489,17,2024-03-18,-10
324,14,2023-01-18,160
381,14,2023-12-18,107
102,18,2023-10-25,0
494,20,2023-10-10,448
19,18,2024-08-08,411
454,16,2023-04-20,100
482,1,2023-06-29,234
397,11,2024-06-27,77
279,15,2023-01-25,109
365,12,2023-02-26,396
331,8,2023-06-29,427
344,20,2023-08-20,
455,6,2023-12-09,240
65,3,2024-04-21,77
76,13,2024-07-29,95
143,13,2024-03-30,
473,2,2023-08-20,448
417,5,2023-10-16,66
305,17,2023-08-01,405
497,6,2023-09-15,42
291,2,2024-06-13,77
102,4,2024-11-17,170
267,11,2023-08-17,386
3,8,2023-08-14,109
85,12,2024-08-18,457
328,8,2024-03-10,293
450,11,2024-02-06,427
454,20,2024-09-13,180
221,8,2023-03-29,386
154,8,2024-08-06,100
12,17,2024-06-25,304
133,20,2024-11-14,393
304,20,2023-11-05,71
293,16,2023-12-09,349
300,14,2024-03-11,457
43,11,2023-06-26,375
343,7,2023-05-19,100
326,16,2023-07-13,304
498,13,2023-07-05,107
364,15,2023-08-06,0
427,16,2023-06-13,431
21,9,2023-06-10,304
407,3,2024-06-08,149
336,19,2024-08-23,336
117,20,2023-02-11,126
124,5,2023-07-29,406
399,10,2023-10-02,498
51,17,2023-10-06,322
324,15,2023-09-08,484
141,8,2023-11-06,380
470,15,2024-12-20,214
334,14,2023-05-20,242
373,20,2024-06-29,0
494,7,2024-06-13,396
156,12,2023-02-26,212
291,17,2023-04-22,484
144,17,2023-01-05,167
106,10,2024-02-14,386
420,19,2024-02-18,unknown
2,14,2023-07-01,167
90,11,2023-01-13,314
345,2,2023-12-05,367
350,18,2023-09-16,242
459,7,2023-03-31,393
263,12,2024-09-07,171
351,2,2024-11-28,107
108,20,2023-09-07,0
39,18,2023-09-12,186
159,6,2024-08-10,396
312,10,2023-04-18,380
241,20,2024-10-29,244
445,15,2024-08-16,431
298,5,2024-08-11,302
36,20,2024-04-29,491
84,3,2023-09-15,396
452,5,2024-09-30,248
385,8,2023-10-09,10
172,8,2023-03-29,171
376,8,2023-07-23,unknown
362,12,2023-01-16,426
141,8,2023-05-31,426
118,11,2023-09-11,431
277,14,2023-07-07,95
220,8,2023-11-25,457
26,10,2024-06-27,160
10,7,2024-02-01,234
378,17,2024-05-31,382
152,4,2024-04-03,186
49,13,2023-11-26,66
154,4,2023-06-18,100
293,5,2024-11-23,448
50,4,2024-01-01,467
60,18,2023-06-27,167
167,6,2024-10-16,400
202,2,2023-12-28,126
146,11,2024-09-30,41
439,14,2023-02-09,127
242,5,2024-02-20,322
483,6,2023-12-21,51
108,10,2023-09-12,302
226,8,2023-05-23,314
432,14,2024-12-10,253
419,3,2024-07-30,107
455,12,2023-01-11,469
160,16,2024-09-11,406
77,17,2023-01-26,90
85,1,2024-02-25,336
441,10,2024-10-24,94
254,10,2023-08-09,148
320,2,2024-05-10,350
263,9,2023-08-25,481
374,13,2023-08-25,94
167,16,2023-08-07,406
459,18,2024-05-01,unknown
280,19,2024-04-05,56
302,12,2024-10-24,373
218,8,2024-09-26,214
102,17,2023-05-24,385
288,15,2023-07-08,484
167,10,2023-09-12,140
36,15,2023-03-09,118
353,15,2024-09-07,120
73,7,2023-12-02,170
353,13,2024-11-01,230
